uk:
Ганни Барвінок|Ганны Барвинок|1|39207462
Генерала Радієвського|Генерала Радиевская|1|46932419
Генерала Радієвського|Генерала Радиевского|3|136201192,136576915,151662759
Героїв України|Героев Украини|1|403646016
Героїв України|Героев Украины|2|74720889,374432702
Гетьмана Сагайдачного|Гетмана Сагайдачного|18|30961988,45544178,45544179,45817992,82565953,85565432,88299854,99870277,99870281,105678642,105678685,192212540,214754663,217563977,241048997,259265604,342828737,355489562
Гетьмана Сагайдачного|Гетьмана Сагайдачного|4|35098608,164477844,164477877,203560646
Гетьманська|Гетманская|24|36818785,43386183,55901653,56418722,56418725,56418728,98812124,98861012,126710964,131654337,132011082,159298054,159298131,162195327,168201357,239809701,333980105,333980107,335049662,360024720,375328273,375328286,375328291,386065031
Гетьманська|Гетьманская|13|32878156,32878170,32878172,34055942,46490971,46490980,99912793,148499064,223017695,243554701,312138137,388776240,388776242
Гірників|Горников|1|168765666
Гірників|Горняков|4|102529450,107195031,107279089,186193448
Голуба|Голуба|5|208764125,293822824,293928572,293928573,293933643
Голуба|Голубая|4|102195179,202699108,268976977,268976978
Гончарівка|Гончаривка|1|274297356
Гончарівка|Гончаровка|1|132313032
Гординського|Гординского|1|288154274
Гординського|Гордынского|2|74322733,141426106
Горна|Горна|1|102723144
Горна|Горная|2|142373136,330778629
Горова|Горова|1|61961677
Горова|Горовая|5|61677597,69253325,160105878,160523740,160920068
Городницька|Городницкая|1|84688843
Городницька|Огородническая|3|88449144,119235950,172393224
Городній|Огородний|1|148586873
Городній|Огородный|12|59377881,96982460,104438361,112671796,133865152,133865153,143234942,153325829,169315880,278834335,335221963,376213467
Горянська|Горская|2|136895412,279935237
Горянська|Горянская|6|34839536,47512038,105593779,127670675,159097862,228902405
Гостинна|Гостеприимная|2|40057126,188912634
Гостинна|Гостинная|5|27443241,34359544,121238376,145266351,173502868
Грачова|Грачёва|2|60199146,129582199
Грачова|Грачёвая|1|129582199
Гризодубової|Гризодубовой|21|34839428,38648685,81176569,90075171,98651590,102529462,104119073,113794097,113794099,115365918,116349026,131387307,132510662,139540054,168717731,207018524,210551652,210551653,211109920,340250900,364234993
Гризодубової|Грызодубовой|1|322150652
Грищенко|Грищенко|3|96217920,333439123,400220181
Грищенко|Школьная|1|333439128
Ґрохольських|Грохольских|2|40089694,98605755
Ґрохольських|Грохольських|1|38499464
Грушева|Грушева|1|224615047
Грушева|Грушевая|18|54367613,91932010,96809552,106363295,110247202,164044193,170077934,172976367,175379738,182499750,196765430,198725277,232700796,272272640,311908483,316650321,355939097,355939098
Грушева|Грушовая|1|211261738
Гулі Корольової|Гули Королевой|2|111595897,227989056
Гулі Корольової|Гули Королёвой|1|32891917
Далека|Далёкая|11|47092991,47093156,47571194,107678757,115365901,222205590,248792964,248792966,261543751,261543752,281027458
Далека|Дальняя|2|97216024,98310372
Двірцева|Двирцева|4|24572481,175932178,175932191,357156631
Двірцева|Дворцовая|7|79085388,161420715,202782076,335788747,335788748,335788749,379884954
Деповський|Деповский|3|38197674,145280279,302095854
Деповський|Деповской|6|135372708,135372712,135372724,175748706,176833521,178265285
Деревообробна|Деревообрабатывающая|1|37337135
Деревообробна|Деревоотделочная|1|188203587
Джерельна|Джерельная|28|57379039,57379047,100780442,153312860,153325917,153325918,158028075,158028336,158551392,165202066,168840279,177545717,200517381,219362517,229648941,237211544,248109220,328589776,336126017,336752217,338867317,356340508,359320767,360731881,364178982,364178983,375348786,378462420
Джерельна|Родниковая|40|35537005,41081809,41082599,72200998,81046982,81231226,83625172,85965163,88299176,95828376,97808855,100968766,101325154,107354129,131395267,144808323,163811535,189668646,220541983,220543975,220651012,237211520,241985365,243543211,244680107,252929421,272996266,275472172,278491142,280436320,302625641,307943885,321464237,322195645,322197920,329286790,336629949,361002703,361002704,400293761
